PlotID	SampleID	TubeID	BarcodeID	PrimerPairID	Vol	Conc	Quantity	ProjectID	Investigator	PlatePosition	SpeciesID	HarvestYear
3L	H5tz	G2	Alpha15	ITS-1_4	15	2.78	NA	Zanne-ITS/Zanne-ITS	Zanne	G2	COFL	3
3L	H5tz	G2	Alpha15	LSU	15	17.93	NA	Zanne-LSU/Zanne-LSU	Zanne	G2	COFL	3
3L	H5tz	G2	Alpha15	16S	15	4.02	NA	Zanne-16S/Zanne-16S	Zanne	G2	COFL	3
3L	H5bz	H2	Alpha16	ITS-1_4	15	1.74	NA	Zanne-ITS/Zanne-ITS	Zanne	H2	COFL	3
3L	H5bz	H2	Alpha16	LSU	15	4.26	NA	Zanne-LSU/Zanne-LSU	Zanne	H2	COFL	3
3L	H5bz	H2	Alpha16	16S	15	2.95	NA	Zanne-16S/Zanne-16S	Zanne	H2	COFL	3
3L	I5tz	A3	Alpha17	ITS-1_4	15	2.19	NA	Zanne-ITS/Zanne-ITS	Zanne	A3	DIVI	3
3L	I5tz	A3	Alpha17	LSU	15	12.87	NA	Zanne-LSU/Zanne-LSU	Zanne	A3	DIVI	3
3L	I5tz	A3	Alpha17	16S	15	2.77	NA	Zanne-16S/Zanne-16S	Zanne	A3	DIVI	3
3L	I5bz	B3	Alpha18	ITS-1_4	15	3.74	NA	Zanne-ITS/Zanne-ITS	Zanne	B3	DIVI	3
3L	I5bz	B3	Alpha18	LSU	15	7.85	NA	Zanne-LSU/Zanne-LSU	Zanne	B3	DIVI	3
3L	I5bz	B3	Alpha18	16S	15	6.04	NA	Zanne-16S/Zanne-16S	Zanne	B3	DIVI	3
3L	J5tz	C3	Alpha19	ITS-1_4	15	2.4	NA	Zanne-ITS/Zanne-ITS	Zanne	C3	FRAM	3
3L	J5tz	C3	Alpha19	LSU	15	9.07	NA	Zanne-LSU/Zanne-LSU	Zanne	C3	FRAM	3
3L	J5tz	C3	Alpha19	16S	15	33.65	NA	Zanne-16S/Zanne-16S	Zanne	C3	FRAM	3
3L	A5bz	B1	Alpha2	ITS-1_4	15	2.23	NA	Zanne-ITS/Zanne-ITS	Zanne	B1	ACRU	3
3L	A5bz	B1	Alpha2	LSU	15	13.35	NA	Zanne-LSU/Zanne-LSU	Zanne	B1	ACRU	3
3L	A5bz	B1	Alpha2	16S	15	2.05	NA	Zanne-16S/Zanne-16S	Zanne	B1	ACRU	3
3L	J5bz	D3	Alpha20	ITS-1_4	15	3.59	NA	Zanne-ITS/Zanne-ITS	Zanne	D3	FRAM	3
3L	J5bz	D3	Alpha20	LSU	15	18.64	NA	Zanne-LSU/Zanne-LSU	Zanne	D3	FRAM	3
3L	J5bz	D3	Alpha20	16S	15	9.32	NA	Zanne-16S/Zanne-16S	Zanne	D3	FRAM	3
3L	K5tz	E3	Alpha21	ITS-1_4	15	2.36	NA	Zanne-ITS/Zanne-ITS	Zanne	E3	GLTR	3
3L	K5tz	E3	Alpha21	LSU	15	2.69	NA	Zanne-LSU/Zanne-LSU	Zanne	E3	GLTR	3
3L	K5tz	E3	Alpha21	16S	15	5.83	NA	Zanne-16S/Zanne-16S	Zanne	E3	GLTR	3
3L	K5bz	F3	Alpha22	ITS-1_4	15	5.89	NA	Zanne-ITS/Zanne-ITS	Zanne	F3	GLTR	3
3L	K5bz	F3	Alpha22	LSU	15	23.51	NA	Zanne-LSU/Zanne-LSU	Zanne	F3	GLTR	3
3L	K5bz	F3	Alpha22	16S	15	19.37	NA	Zanne-16S/Zanne-16S	Zanne	F3	GLTR	3
3L	L5tz	G3	Alpha23	ITS-1_4	15	2.52	NA	Zanne-ITS/Zanne-ITS	Zanne	G3	JUNI	1
3L	L5tz	G3	Alpha23	LSU	15	3.79	NA	Zanne-LSU/Zanne-LSU	Zanne	G3	JUNI	1
3L	L5tz	G3	Alpha23	16S	15	2.9	NA	Zanne-16S/Zanne-16S	Zanne	G3	JUNI	1
3L	L5bz	H3	Alpha24	ITS-1_4	15	2.16	NA	Zanne-ITS/Zanne-ITS	Zanne	H3	JUNI	1
3L	L5bz	H3	Alpha24	LSU	15	5.25	NA	Zanne-LSU/Zanne-LSU	Zanne	H3	JUNI	1
3L	L5bz	H3	Alpha24	16S	15	3.68	NA	Zanne-16S/Zanne-16S	Zanne	H3	JUNI	1
3L	M5tz	A4	Alpha25	ITS-1_4	15	2.06	NA	Zanne-ITS/Zanne-ITS	Zanne	A4	JUVI	3
3L	M5tz	A4	Alpha25	LSU	15	3.89	NA	Zanne-LSU/Zanne-LSU	Zanne	A4	JUVI	3
3L	M5tz	A4	Alpha25	16S	15	2.41	NA	Zanne-16S/Zanne-16S	Zanne	A4	JUVI	3
3L	M5bz	B4	Alpha26	ITS-1_4	15	2.03	NA	Zanne-ITS/Zanne-ITS	Zanne	B4	JUVI	3
3L	M5bz	B4	Alpha26	LSU	15	1.98	NA	Zanne-LSU/Zanne-LSU	Zanne	B4	JUVI	3
3L	M5bz	B4	Alpha26	16S	15	2.75	NA	Zanne-16S/Zanne-16S	Zanne	B4	JUVI	3
3L	N5tz	C4	Alpha27	ITS-1_4	15	6.98	NA	Zanne-ITS/Zanne-ITS	Zanne	C4	JUVI2	1
3L	N5tz	C4	Alpha27	LSU	15	14	NA	Zanne-LSU/Zanne-LSU	Zanne	C4	JUVI2	1
3L	N5tz	C4	Alpha27	16S	15	41.28	NA	Zanne-16S/Zanne-16S	Zanne	C4	JUVI2	1
3L	N5bz	D4	Alpha28	ITS-1_4	15	2.41	NA	Zanne-ITS/Zanne-ITS	Zanne	D4	JUVI2	1
3L	N5bz	D4	Alpha28	LSU	15	5.82	NA	Zanne-LSU/Zanne-LSU	Zanne	D4	JUVI2	1
3L	N5bz	D4	Alpha28	16S	15	27.51	NA	Zanne-16S/Zanne-16S	Zanne	D4	JUVI2	1
3L	O5tz	E4	Alpha29	ITS-1_4	15	3.55	NA	Zanne-ITS/Zanne-ITS	Zanne	E4	LOMA	1
3L	O5tz	E4	Alpha29	LSU	15	23.46	NA	Zanne-LSU/Zanne-LSU	Zanne	E4	LOMA	1
3L	O5tz	E4	Alpha29	16S	15	35.16	NA	Zanne-16S/Zanne-16S	Zanne	E4	LOMA	1
3L	B5tz	C1	Alpha3	ITS-1_4	15	3.64	NA	Zanne-ITS/Zanne-ITS	Zanne	C1	AEGL	3
3L	B5tz	C1	Alpha3	LSU	15	9.39	NA	Zanne-LSU/Zanne-LSU	Zanne	C1	AEGL	3
3L	B5tz	C1	Alpha3	16S	15	6.88	NA	Zanne-16S/Zanne-16S	Zanne	C1	AEGL	3
3L	O5bz	F4	Alpha30	ITS-1_4	15	2.75	NA	Zanne-ITS/Zanne-ITS	Zanne	F4	LOMA	1
3L	O5bz	F4	Alpha30	LSU	15	6.75	NA	Zanne-LSU/Zanne-LSU	Zanne	F4	LOMA	1
3L	O5bz	F4	Alpha30	16S	15	32.03	NA	Zanne-16S/Zanne-16S	Zanne	F4	LOMA	1
3L	P5tz	G4	Alpha31	ITS-1_4	15	6.09	NA	Zanne-ITS/Zanne-ITS	Zanne	G4	PIEC	1
